ID,feature,code location,trigger,default state,source process,destination,resolution path,protocol,authentication,data sent,data received,retry,fallback,disable control,user visibility,decision
AS-01,SSH/SFTP/mosh/telnet connect,oryxis-ssh/engine/connect.rs; dispatch_ssh/*,user Connect action,on-demand,oryxis,user-configured host,DNS then IP,SSH/TLS-class,host keys + vault creds,session I/O,session I/O,user retry only,system font fallback n/a,per-host config,visible,R	required core (Controlled)
AS-02,ProxyCommand,oryxis-ssh/engine/connect.rs:540-570,ssh_config contains ProxyCommand,off unless configured,oryxis,command-defined,local exec,subprocess,consent gate,shell command defined by config,stdout pipe,no,no,per-dial consent dialog,explicit prompt,KEEP+HARDEN (consent gate)
AS-03,ssh-agent listener,agent_server/listener.rs,setting on,off,oryxis,local OS socket/pipe,filesystem,ssh-agent protocol,peer=user (0600/DACL),signing requests,signatures,n/a,n/a,settings toggle + confirm mode,settings,KEEP+HARDEN (confirm default)
AS-04,deep link oryxis://,deep_link.rs,OS URL dispatch,registered scheme,oryxis,none (parse only),n/a,n/a,n/a,theme JSON / ssh URL fields,none,no,no,unregister scheme,invisible,KEEP (strict parse; no dial)
AS-05,portable import/export,oryxis-vault/portable.rs,file pick,manual,oryxis,none,n/a,n/a,export password,full vault subset,none,no,no,n/a,dialog counts,KEEP+HARDEN (denylist)
AS-06,plugin cache → launcher,mcp_install.rs sync_launcher_from_cache,install/refresh,manual,oryxis,local disk,n/a,file copy,Ed25519 sig gate (added),binary bytes,n/a,no,fail closed,n/a,settings panel,KEEP+HARDEN (signature gate)
AS-07,external MCP spawn,~/.oryxis/bin/oryxis-mcp,external client starts,launcher present,oryxis-mcp,stdio to client,n/a,JSON-RPC,bearer token,vault queries via token,query results,no,no,remove launcher,client config,KEEP
AS-08,AI assistant,ai/mod.rs; ai/wire.rs,explicit chat/judge call,off until provider+key set,oryxis,user-chosen provider URL,DNS,HTTPS SSE,API key (vault),terminal context + prompts,completion stream,user retry,no automatic failover,don't configure / clear key,settings panel,KEEP (disclosed egress)
AS-09,font fetch,fonts.rs ensure_and_read,language/font selection or boot heal,automatic on configured font missing,oryxis,raw.githubusercontent.com (pinned commits),DNS,HTTPS,n/a,none (UA only),font bytes,no vendor fallback,system-font fallback (local),offline: keep cached/bundled,downloading hint,KEEP (integrity-pinned)
AS-10,Wake-on-LAN,wol.rs:67,user click,on-demand,oryxis,255.255.255.255:9,none,UDP broadcast,n/a,magic packet,none,no,no,per-host toggle,row in host panel,KEEP (link-local)
AS-11,GIF export plugin spawn,gif_export.rs:67,user records GIF,plugin installed,oryxis,local binary,n/a,subprocess,n/a,two file paths,gif file,no,no,uninstall plugin,export dialog,KEEP
AS-12,RDP/VNC launcher,dispatch_remote_desktop.rs,user opens remote desktop,on-demand,oryxis,PATH-resolved client,n/a,subprocess,n/a,program args,window,no,no,n/a,explicit action,KEEP
AS-13,harness daemon (dev),harness/serve.rs:45,--harness dev runs,off in release builds,oryxis,127.0.0.1:6799,none,TCP line protocol,none,sandbox commands,none,no,no,dev-only feature,dev docs,TEST_ONLY
AS-14,theme deep-link import,deep_link.rs:135-157,oryxis://theme link,scheme registered,oryxis,none,n/a,n/a,n/a,base64url JSON,none,no,no,n/a,import panel preview,KEEP
AS-15,importers (PuTTY etc.),importers/*,file pick,manual,oryxis,none,n/a,file parse,n/a,imported file,none,no,no,n/a,import dialog,KEEP
